Transcripts	GeneName
NM_152490	B3GALNT2
NM_006876	B3GNT1
NM_005198	CHKB
NM_004370	COL12A1
NM_001845	COL4A1
NM_001846	COL4A2
NM_001848	COL6A1
NM_001849	COL6A2
NM_004369	COL6A3
NM_001165928	DAG1
NM_014908	DOLK
NM_003859	DPM1
NM_003863	DPM2
NM_153741	DPM3
NM_024301	FKRP
NM_001079802	FKTN
NM_013334	GMPPB
NM_001101426	ISPD
NM_002206	ITGA7
NM_002207	ITGA9
NM_000426	LAMA2
NM_004737	LARGE
NM_006077	MICU1
NM_000445	PLEC
NM_001243766	POMGNT1
NM_032806	POMGNT2
NM_032237	POMK
NM_007171	POMT1
NM_013382	POMT2
NM_001037633	SIL1
NM_014254	TMEM5
